Date,Category,Description,Amount,Type
2025-01-02,Sale,Custom plushie,947,Income
2025-01-03,Sale,Custom tote bag,476,Income
2025-01-04,Sale,Baby hat order,530,Income
2025-01-05,Sale,Pet sweater,499,Income
2025-01-06,Packaging,Zip bags & labels,123,Expense
2025-01-07,Sale,Pet sweater,515,Income
2025-01-13,Sale,2 mini bags,702,Income
2025-01-15,Sale,Custom tote bag,967,Income
2025-01-15,Marketing,Facebook ad,120,Expense
2025-01-16,Sale,Pet sweater,701,Income
2025-01-17,Sale,Baby hat order,846,Income
2025-01-18,Tools,Needle set,187,Expense
2025-01-20,Sale,2 mini bags,851,Income
2025-01-22,Supplies,Yarn (Shopee),164,Expense
2025-01-24,Sale,Crochet keychains x5,553,Income
2025-01-25,Sale,Custom plushie,588,Income
2025-01-26,Sale,Couple doll set,492,Income
2025-01-27,Packaging,Stickers pack,142,Expense
2025-01-30,Sale,Baby hat order,633,Income
2025-01-31,Sale,Couple doll set,380,Income
2025-01-31,Supplies,Safety eyes,288,Expense
2025-02-01,Sale,Baby hat order,588,Income
2025-02-04,Sale,Custom plushie,311,Income
2025-02-07,Sale,Crochet keychains x5,405,Income
2025-02-08,Delivery,J&T Express,178,Expense
2025-02-10,Sale,Pet sweater,520,Income
2025-02-10,Tools,Needle set,276,Expense
2025-02-11,Sale,Custom tote bag,347,Income
2025-02-12,Sale,2 mini bags,933,Income
2025-02-13,Sale,Couple doll set,654,Income
2025-02-13,Tools,Needle set,271,Expense
2025-02-15,Sale,Pet sweater,672,Income
2025-02-16,Sale,Couple doll set,923,Income
2025-02-17,Sale,Crochet rose bouquet,386,Income
2025-02-18,Sale,Pet sweater,429,Income
2025-02-19,Sale,Crochet keychains x5,577,Income
2025-02-20,Sale,Pet sweater,786,Income
2025-02-21,Sale,Baby hat order,843,Income
2025-02-21,Packaging,Stickers pack,319,Expense
2025-02-23,Sale,Crochet rose bouquet,809,Income
2025-02-23,Packaging,Zip bags & labels,107,Expense
2025-02-24,Supplies,Yarn (Shopee),262,Expense
2025-02-25,Sale,2 mini bags,439,Income
2025-02-26,Delivery,LBC Express,52,Expense
2025-02-28,Sale,Custom tote bag,680,Income
2025-02-28,Supplies,Safety eyes,56,Expense
2025-03-02,Delivery,LBC Express,249,Expense
2025-03-04,Sale,Baby hat order,774,Income
2025-03-04,Tools,New scissors,50,Expense
2025-03-05,Marketing,Facebook ad,270,Expense
2025-03-08,Packaging,Zip bags & labels,258,Expense
2025-03-09,Sale,Crochet rose bouquet,409,Income
2025-03-09,Delivery,J&T Express,280,Expense
2025-03-10,Sale,Crochet rose bouquet,612,Income
2025-03-11,Sale,2 mini bags,687,Income
2025-03-11,Supplies,Stuffing refill,195,Expense
2025-03-13,Sale,Couple doll set,621,Income
2025-03-14,Sale,Custom plushie,390,Income
2025-03-14,Tools,Needle set,357,Expense
2025-03-18,Sale,Baby hat order,644,Income
2025-03-19,Sale,Custom tote bag,835,Income
2025-03-19,Marketing,Facebook ad,234,Expense
2025-03-20,Sale,Baby hat order,323,Income
2025-03-21,Packaging,Zip bags & labels,163,Expense
2025-03-22,Sale,2 mini bags,566,Income
2025-03-24,Sale,Pet sweater,372,Income
2025-03-26,Sale,2 mini bags,746,Income
2025-03-27,Delivery,LBC Express,350,Expense
2025-03-30,Sale,Crochet keychains x5,352,Income
2025-03-31,Delivery,LBC Express,56,Expense
